x,y,z,Label
-0.0038531,-0.048467,-0.087385,0
-0.062852,-0.063857,-0.044407,0
-0.053037,0.031753,0.078605,0
-0.072947,-0.065264,-0.020481,0
0.083444,-0.046427,0.029692,0
0.070696,0.0090222,0.070147,0
-0.067611,0.068692,-0.026647,0
0.048803,0.016028,-0.085798,0
-0.0028201,-0.0014539,-0.09995,0
-0.0013528,-0.0094089,0.099547,0
1.07E-17,5.95E-18,-0.1,0
-0.072934,-0.026546,0.063055,0
0.016875,-0.095705,0.023576,0
0.04356,-0.081301,-0.038635,0
-0.059022,0.0056359,0.080527,0
-0.021706,0.078512,0.058006,0
-0.0014998,0.018866,0.098193,0
0.047741,0.0092013,0.087385,0
-0.0008997,0.056699,0.082368,0
-0.017318,-0.013619,0.097543,0
0.078586,-0.050504,-0.035689,0
-0.0041534,-0.0047933,-0.099799,0
0.07315,-0.06138,-0.029692,0
0.067433,0.073007,-0.011084,0
0.020781,0.085661,0.047227,0
0.0448,-0.072203,0.052723,0
-0.01846,0.0041694,-0.098193,0
-0.012348,-0.002789,0.099195,0
0.019839,0.02786,-0.093969,0
0.02523,-0.08114,-0.052723,0
0.02431,-0.0063075,0.096795,0
0.015038,0.085287,0.05,0
0.0086027,0.077136,-0.063055,0
-0.015111,-0.054656,-0.082368,0
0.04254,-0.017031,0.088884,0
-0.039374,0.017232,-0.090293,0
0.056497,0.069542,0.044407,0
0.042634,-0.0054409,0.090293,0
-0.046069,0.041217,-0.078605,0
-0.060402,0.021985,0.076604,0
0.083089,0.0052805,-0.055392,0
0.0083652,0.026903,-0.095949,0
0.023218,-0.095705,-0.017365,0
-0.093313,-0.014931,-0.032707,0
-0.034504,0.059763,-0.072373,0
0.094995,-0.031199,-0.0015866,0
0.051368,0,0.085798,0
-0.031515,0.024784,-0.091611,0
0.093227,-0.0059247,0.035689,0
0.082133,0.039096,-0.041542,0
0.0057267,-0.0027259,0.099799,0
-0.020457,0.097769,0.0047582,0
0.056273,0.047219,0.067851,0
-0.020047,-0.095805,0.020481,0
-0.00072702,-0.045817,-0.088884,0
-0.030744,-0.073397,-0.060561,0
-0.013717,0.095403,0.026647,0
-0.030744,0.073397,0.060561,0
0.0030585,0.064206,-0.076604,0
-0.032703,-0.094488,0.0015866,0
0.03847,0.071801,-0.058006,0
0.0083766,-0.075109,0.065486,0
-0.059265,0.030553,0.074526,0
-0.099434,-0.0094948,-0.0047582,0
-0.054828,-0.08241,0.014231,0
-0.025102,-0.00079684,-0.096795,0
0.06716,-0.072711,-0.014231,0
-0.0029066,-0.0012721,0.09995,0
-0.040959,-0.082642,0.038635,0
-0.012156,0.035122,0.092837,0
-0.080046,0.055108,-0.023576,0
-0.044267,0.089318,-0.007925,0
-0.020434,0.023582,0.095007,0
0.074153,0.047655,-0.047227,0
-0.0079001,-0.013683,0.098744,0
0.019595,0.031581,-0.092837,0
-0.044488,0.058456,-0.067851,0
-0.094453,0.0029983,0.032707,0
-0.074924,-0.051582,0.041542,0
0.085038,-0.01639,-0.05,0
0.032286,-0.023771,0.091611,0
0.0056389,-0.01476,-0.098744,0
0.052498,-0.06462,0.055392,0
-0.095358,0.028,0.011084,0
-0.0052653,0.0079141,-0.099547,0
-0.064842,-0.038821,-0.065486,0
0.072146,0.068791,0.007925,0
